new_word,freq,ratio,category,week,date1,date2
제강부,7,0.0006841282251759187,사회,1주차,20220102,20220108
본오동,6,0.0005863956215793589,사회,1주차,20220102,20220108
택배요금,6,0.0005863956215793589,사회,1주차,20220102,20220108
인천형,8,0.0007818608287724785,사회,1주차,20220102,20220108
서울살이,12,0.0011727912431587178,사회,1주차,20220102,20220108
노인장애인,6,0.0005863956215793589,사회,1주차,20220102,20220108
관리업무,6,0.0005863956215793589,사회,1주차,20220102,20220108
부설주차장,7,0.0006841282251759187,사회,1주차,20220102,20220108
항일투쟁,8,0.0007818608287724785,사회,1주차,20220102,20220108
반송리,7,0.0006841282251759187,사회,1주차,20220102,20220108
산불진화헬기,9,0.0008795934323690383,사회,1주차,20220102,20220108
실천과제,6,0.0005863956215793589,사회,1주차,20220102,20220108
이송체계,8,0.0007818608287724785,사회,1주차,20220102,20220108
반도체클러스터,7,0.0006841282251759187,사회,1주차,20220102,20220108
남부경찰서,16,0.001563721657544957,사회,1주차,20220102,20220108
일상회복지원금,11,0.0010750586395621578,사회,1주차,20220102,20220108
B호,12,0.0011727912431587178,사회,1주차,20220102,20220108
자연과학대학,7,0.0006841282251759187,사회,1주차,20220102,20220108
동행정복지센터,6,0.0005863956215793589,사회,1주차,20220102,20220108
위탁의료기관,11,0.0010750586395621578,사회,1주차,20220102,20220108
이동저수지,12,0.0011727912431587178,사회,1주차,20220102,20220108
토지정보과,12,0.0011727912431587178,사회,1주차,20220102,20220108
노인복지법,10,0.000977326035965598,사회,1주차,20220102,20220108
감염위험,8,0.0007818608287724785,사회,1주차,20220102,20220108
휴게시설,6,0.0005863956215793589,사회,1주차,20220102,20220108
-오프라인,8,0.0007818608287724785,사회,1주차,20220102,20220108
인사운영,8,0.0007818608287724785,사회,1주차,20220102,20220108
우세종화,10,0.000977326035965598,사회,1주차,20220102,20220108
의회사무,33,0.003225175918686474,사회,1주차,20220102,20220108
정주여건,7,0.0006841282251759187,사회,1주차,20220102,20220108
실천방안,6,0.0005863956215793589,사회,1주차,20220102,20220108
사회복지서비스,9,0.0008795934323690383,사회,1주차,20220102,20220108
연산점,7,0.0006841282251759187,사회,1주차,20220102,20220108
한국예술종합학교,7,0.0006841282251759187,사회,1주차,20220102,20220108
이동동선,6,0.0005863956215793589,사회,1주차,20220102,20220108
A초등학교,6,0.0005863956215793589,사회,1주차,20220102,20220108
교통행정,6,0.0005863956215793589,사회,1주차,20220102,20220108
전화면접,6,0.0005863956215793589,사회,1주차,20220102,20220108
국힘,7,0.0006841282251759187,사회,1주차,20220102,20220108
일반학생,8,0.0007818608287724785,사회,1주차,20220102,20220108
예비타당성조사,11,0.0010750586395621578,사회,1주차,20220102,20220108
K방역,7,0.0006841282251759187,사회,1주차,20220102,20220108
안전의식,11,0.0010750586395621578,사회,1주차,20220102,20220108
한편으,16,0.001563721657544957,사회,1주차,20220102,20220108
예방효,25,0.0024433150899139952,사회,1주차,20220102,20220108
완료군,11,0.0010750586395621578,사회,1주차,20220102,20220108
미접종군,11,0.0010750586395621578,사회,1주차,20220102,20220108
소요시간,8,0.0007818608287724785,사회,1주차,20220102,20220108
경영체계,8,0.0007818608287724785,사회,1주차,20220102,20220108
운영방향,7,0.0006841282251759187,사회,1주차,20220102,20220108
농촌지원,10,0.000977326035965598,사회,1주차,20220102,20220108
청원구,10,0.000977326035965598,사회,1주차,20220102,20220108
근로복지공단,7,0.0006841282251759187,사회,1주차,20220102,20220108
대책지역,6,0.0005863956215793589,사회,1주차,20220102,20220108
등기우편,9,0.0008795934323690383,사회,1주차,20220102,20220108
추진과제,13,0.0012705238467552776,사회,1주차,20220102,20220108
것임,18,0.0017591868647380765,사회,1주차,20220102,20220108
외래진료센터,12,0.0011727912431587178,사회,1주차,20220102,20220108
사회융합대학원,6,0.0005863956215793589,사회,1주차,20220102,20220108
신소재공학,6,0.0005863956215793589,사회,1주차,20220102,20220108
면역반응,7,0.0006841282251759187,사회,1주차,20220102,20220108
중대재해법,9,0.0008795934323690383,사회,1주차,20220102,20220108
안전보건관리,12,0.0011727912431587178,사회,1주차,20220102,20220108
추진사업,6,0.0005863956215793589,사회,1주차,20220102,20220108
정부과천청사,7,0.0006841282251759187,사회,1주차,20220102,20220108
학령인구,15,0.0014659890539483972,사회,1주차,20220102,20220108
디지스트,7,0.0006841282251759187,사회,1주차,20220102,20220108
공판기일,6,0.0005863956215793589,사회,1주차,20220102,20220108
원격교육,6,0.0005863956215793589,사회,1주차,20220102,20220108
검사량,15,0.0014659890539483972,사회,1주차,20220102,20220108
공동건의문,6,0.0005863956215793589,사회,1주차,20220102,20220108
실기전형,6,0.0005863956215793589,사회,1주차,20220102,20220108
서울남부지법,39,0.0038115715402658326,사회,1주차,20220102,20220108
보호처분,14,0.0013682564503518374,사회,1주차,20220102,20220108
